date,weighted_z_1,weighted_z_2,weighted_z_3,weighted_z_4,weighted_z_5,weighted_z_6,weighted_z_7,total_weighted_z
2022-08-01,-0.6933623164095802,0.11217149295070919,0.05603857374514436,0.06930638070026746,0.06582215998120311,0.18261971713353425,0.1284265599885641,-0.07897743191015778
2022-09-01,-0.8120148390492509,0.10988522247581209,0.06007764787937894,0.07660398181663547,0.08277306248152468,0.17336479714158615,0.10829860047961998,-0.20101152677469358
2022-10-01,-0.7985530852901328,0.1141031567520357,0.08960990646051895,0.08385302606741143,0.08400874384370217,0.16520655954531663,0.16042227873273351,-0.10134941388841441
2022-11-01,-0.7991536023664273,0.10702457729362887,-0.014756441383706052,0.044421144217033845,-0.018928643679832782,0.15866655827625858,0.1319877792644458,-0.390738628378599
2022-12-01,-0.7386990874111908,0.0908752141301082,0.04144608227409678,0.004500476546795257,-0.1958674627003033,0.15324258240119112,0.1141993519994119,-0.5303028427598909
2023-01-01,-0.7281586349727187,0.08856417580551536,0.02910697115528378,0.04628923399207581,-0.020993109088177492,0.14875028886383468,0.17527199348348949,-0.2611690807606971
2023-02-01,-0.6020133627240629,0.0847500973156878,-0.11453546410955302,-0.06334885265750655,-0.025853792724585063,0.14476154213652792,0.1404642159869164,-0.4357756167765754
2023-03-01,-0.6743026955587783,0.06564005385019991,-0.08761066699444292,-0.14514965599613064,-0.0817408706872827,0.1413752399336285,0.11899992289278913,-0.6627886725600171
2023-04-01,-0.5220813386661116,0.05482998462154988,-0.093806316425894265,-0.16666591848439039,0.010735333583476784,0.13851270693410517,0.17820705042936605,-0.4002684980078984
2023-05-01,-0.5475440807468653,0.020440161130981595,-0.1053319663622372,-0.11058407842001629,0.0033794452860020424,0.13607438330935348,0.14113374156315123,-0.46243239423963045
2023-06-01,-0.5104177855340416,0.012127350248903813,0.09187624814796169,-0.07501343037956665,-0.06560032569142585,0.13400464593582323,0.11809773865703,-0.2949255586153154
2023-07-01,-0.4282978874328091,-0.05503766365245058,-0.029514627055135818,-0.039469545299803344,-0.02590494369631994,0.13208451397442397,0.11203238662772647,-0.33410776653436836
2023-08-01,-0.08098341661635663,-0.11901441089393525,0.00924136651332606,0.06754040006344673,-0.012176582235372145,0.13042256855940926,0.09580980808943158,0.09083973347994961
2023-09-01,0.4157863421048245,-0.07606178520875315,0.15938173261632888,0.11318630094373947,0.010838087329226486,0.1290471106905813,0.08394610994368218,0.8361238984196296
2023-10-01,-0.2702427344650283,-0.18071731902085722,-0.047742780647283586,-2.836079278930484e-4,-0.08385948358260094,0.12805151980739823,0.10651326590818257,-0.3482811399280823
2023-11-01,-0.38489224525488297,-0.07282264560595353,0.06627845552043675,9.984658981190895e-4,0.0042100588054908026,0.1273713074761147,0.09374447669045108,-0.16511212647022408
2023-12-01,0.019117977822540277,-0.034536939323254676,0.13725789337777383,0.035492525070500644,-0.03473756791812012,0.12694239876326996,0.08754551441944715,0.33708180221215706
2024-01-01,1.0739744109351859,-0.020409974973962748,-0.12493256201036904,-0.04498997942962177,-0.21580410889654755,0.1267382549606978,0.13741905962189133,0.9319951002072738
2024-02-01,0.22451318476892507,-0.07311053943324056,-0.08089605258641797,0.002669515977104615,0.011892888022015874,0.1268124456940176,0.12224292381003818,0.3341243662524428
2024-03-01,1.0388187162784603,-0.13115234741701928,-0.006690722418787595,0.04943381467616951,0.040663904795847125,0.1270757727573732,0.12154563868622416,1.2396947773582674
2024-04-01,0.501098227408782,-0.07278428002494519,-0.0023730103248013985,0.11540642511975946,-0.06029594536790342,0.1273966107702367,0.15282134747753,0.7612693750586581
2024-05-01,0.3107424429432035,-0.04964463008247878,-0.041695420107014325,0.016849087394717625,0.05974193941061953,0.12781330154818632,0.12484624594841306,0.5486529670556469
2024-06-01,0.16542660799280978,-0.10292534811013407,-0.08961917388900305,0.03459286762739465,0.04536753300831539,0.12831468014585112,0.10596342165890761,0.28712058843414145
2024-07-01,-0.49383584148044957,-0.08085942354541564,0.044417261665917696,0.12458345802573559,-0.056192043481709926,0.12873276543974074,0.08363895945888136,-0.24951486391729974
2024-08-01,-0.23974907766367437,-0.20779790263626222,0.002751580024727764,0.05253436032440413,0.04281777653600258,0.12905513832748347,0.07222159513790322,-0.14816652994941543
2024-09-01,-0.19646691890084944,-0.157815131902558,0.03845508720328502,0.04753790165975426,-0.005106268001332686,0.12927650065146037,0.06364631144438208,-0.08047251784585839
2024-10-01,-0.4974375180681041,-0.20491338173101042,0.0337223844866437,-0.0059257864946502415,-0.104612001108192,0.12940045023595376,0.06324241495637059,-0.5865234377229888
2024-11-01,0.19538996440356643,-0.12487821836988769,0.019987071088865,0.05277519036240237,-0.06199099597322637,0.1293886625988078,0.054529478838884926,0.2652011529494125
2024-12-01,0.5336680231820492,-0.12015709588889953,0.07159293452258547,0.09214282342102528,0.017476943533883266,0.1291738650153739,0.05299301609658356,0.7768905098826011
2025-01-01,1.0675290673593163,-0.1095587105524299,0.09001694354571678,0.1306523816587173,-0.08212351095381638,0.12585904821004762,-0.017058914547561206,1.2053163047199904
2025-02-01,0.6671924684832466,-0.07908541324542581,0.12742985397686962,0.1777944196806003,0.1473273390228332,0.12478722145136323,-0.03932112977106286,1.1261247595984243
2025-03-01,0.19285432805032862,-0.06501087461202243,0.22789863182657838,0.11855814087671918,0.18555869173802542,0.12371472975460326,-0.12634089799531847,0.657232749638914
2025-04-01,0.07453746597674728,-0.044158937040890606,0.014006537849278612,0.0703315590770793,0.0987275366516332,0.12268318416853322,NA,0.336127346682381
2025-05-01,-0.006776133270616015,-0.052669893628572696,NA,NA,0.09975649112934196,0.12222967368711225,NA,0.1625401379172655
2010-01-01,NA,NA,NA,NA,NA,NA,NA,0
2010-02-01,NA,NA,NA,NA,NA,NA,NA,0
2010-03-01,NA,NA,NA,NA,NA,NA,NA,0
2010-04-01,NA,NA,NA,NA,NA,NA,NA,0
2010-05-01,NA,NA,NA,NA,NA,NA,NA,0
2010-06-01,NA,NA,NA,NA,NA,NA,NA,0
2010-07-01,NA,NA,NA,NA,NA,NA,NA,0
2010-08-01,NA,NA,NA,NA,NA,NA,NA,0
2010-09-01,NA,NA,NA,NA,NA,NA,NA,0
2010-10-01,NA,NA,NA,NA,NA,NA,NA,0
