date,payment_value,gdp_value,value,value_10yravg,sd_10yravg,value_1yravg,sd_1yravg,zscore_10yravg,zscore_1yravg
2020-04-01,514.787,19056.617,0.02701355649851178,0.024833089612903737,0.0018421519821254413,0.0267318762187433,3.8373284519005506e-4,-1.1836520041588867,-0.7340530874519527
2020-07-01,508.165,20548.793,0.024729676336707463,0.02488165499346633,0.001818652030843497,0.02601268478699188,0.0011677876531678752,0.08356664946420693,1.0986658805682519
2020-10-01,517.026,20771.691,0.024890895979532913,0.024934924529440485,0.001793742845054361,0.025544709604917382,0.001274610270209926,0.02454563095761815,0.5129517944938475
2021-01-01,534.023,21058.379,0.02535916938336042,0.025002455819363268,0.0017693329612450427,0.024993247233200264,3.2698961495980993e-4,-0.2016090650038762,-1.1190635219565965
2021-04-01,561.224,21389.005,0.026238901716091983,0.025090752372515773,0.0017624975201491811,0.02549632235966177,6.843888300011036e-4,-0.651433168245836,-1.085025535014963
2021-07-01,588.462,21571.421,0.027279704939234185,0.025198114143242564,0.0017952660530596081,0.026292592012895532,9.613928392296134e-4,-1.1594887523462274,-1.0267529422516295
2021-10-01,612.643,21960.388,0.02789764005991151,0.025321500866880044,0.0018503772365676167,0.027138748905079224,8.383046439020891e-4,-1.3922237812491214,-0.9052689381509889
2022-01-01,637.093,21903.85,0.02908589129308318,0.025490414113544614,0.001955627063831782,0.028087745430742956,9.179773010384307e-4,-1.8385290559917502,-1.0873317468864467
2022-04-01,684.952,21919.222,0.031248919327519924,0.025735139786843244,0.002195345969141189,0.02941081689350487,0.001699102900572106,-2.511576588920811,-1.0818076017621685
2022-07-01,752.73,22066.784,0.03411145004183664,0.026106670177357592,0.0026137409450592017,0.031482086887479915,0.0025208799093880663,-3.0625758377511043,-1.0430338805766404
2022-10-01,824.592,22249.459,0.03706121573562755,0.026586229088083325,0.003213335520206228,0.03414052836832804,0.00290625730893341,-3.259848397926388,-1.0049651688863714
2023-01-01,863.748,22403.435,0.03855426634353169,0.027115027032254525,0.003801575365044885,0.03657564404033196,0.002260860251343723,-3.009078661562219,-0.8751634701984601
2023-04-01,896.662,22539.418,0.0397819500042104,0.027674140835695027,0.00436805292075823,0.038465810694456544,0.0013625223086064452,-2.7719007503264486,-0.9659579894144785
2023-07-01,968.382,22780.933,0.04250844335480026,0.028308307696661032,0.005064229566650245,0.040281553234180784,0.0020238778371381096,-2.80400709945145,-1.1003085659401446
2023-10-01,1030.742,22960.6,0.044891771120963736,0.029012068757717526,0.005823211295744857,0.042394054826658124,0.0025568303645006393,-2.726966540755587,-0.9768799404857769
2024-01-01,1067.309,23053.545,0.04629695779976572,0.02976092023233686,0.00653502169759003,0.044565724091843235,0.0019151867856234581,-2.5303722516372025,-0.9039503201035861
2024-04-01,1096.791,23223.906,0.04722681016707525,0.030540535397701993,0.007168502199136759,0.04613851302926824,0.001175555356284783,-2.327721231833149,-0.9257727694308311
2024-07-01,1116.96,23400.294,0.04773273361437254,0.03134003141475738,0.007702419279398428,0.04708550052707117,7.282440238141549e-4,-2.128253683029244,-0.8887585289220896
2024-10-01,1124.404,23542.349,0.04776090949972749,0.0321268546570881,0.008136668543195587,0.04757348442705842,3.005590657924766e-4,-1.9214319422798176,-0.6235881528806697
2025-01-01,1114.311,23528.047,0.04736096455434656,0.0328892797522197,0.008461365243726218,0.04761820255614887,2.232196503610633e-4,-1.7103250344685297,1.1523985517682669
